"year","prime_age","race_ethnicity","empstat","poverty","gender","provider_status","population"
1990,"Fifty-Five Plus","Hispanic","Employed","150+ Percent of Poverty","female","other",104609.81
1990,"Fifty-Five Plus","Hispanic","Employed","150+ Percent of Poverty","female","with_children",13573.17
1990,"Fifty-Five Plus","Hispanic","Employed","150+ Percent of Poverty","female","without_children",122692.82
1990,"Fifty-Five Plus","Hispanic","Employed","150+ Percent of Poverty","male","other",118904.5
1990,"Fifty-Five Plus","Hispanic","Employed","150+ Percent of Poverty","male","with_children",50892.39
1990,"Fifty-Five Plus","Hispanic","Employed","150+ Percent of Poverty","male","without_children",164081.76
1990,"Fifty-Five Plus","Hispanic","Employed","Below Poverty","female","other",3701.33
1990,"Fifty-Five Plus","Hispanic","Employed","Below Poverty","female","with_children",479.84
1990,"Fifty-Five Plus","Hispanic","Employed","Below Poverty","female","without_children",16942.21
1990,"Fifty-Five Plus","Hispanic","Employed","Below Poverty","male","other",10669.36
1990,"Fifty-Five Plus","Hispanic","Employed","Below Poverty","male","with_children",9222.57
1990,"Fifty-Five Plus","Hispanic","Employed","Below Poverty","male","without_children",10597.68
1990,"Fifty-Five Plus","Hispanic","NILF","100-124 Percent of Poverty","female","other",24066.75
1990,"Fifty-Five Plus","Hispanic","NILF","100-124 Percent of Poverty","female","with_children",2631.98
1990,"Fifty-Five Plus","Hispanic","NILF","100-124 Percent of Poverty","female","without_children",70545.82
1990,"Fifty-Five Plus","Hispanic","NILF","100-124 Percent of Poverty","male","other",8751.33
1990,"Fifty-Five Plus","Hispanic","NILF","100-124 Percent of Poverty","male","with_children",4960.34
1990,"Fifty-Five Plus","Hispanic","NILF","100-124 Percent of Poverty","male","without_children",53334.16
1990,"Fifty-Five Plus","Hispanic","NILF","125-149 Percent of Poverty","female","other",22304.34
1990,"Fifty-Five Plus","Hispanic","NILF","125-149 Percent of Poverty","female","with_children",3236.75
1990,"Fifty-Five Plus","Hispanic","NILF","125-149 Percent of Poverty","female","without_children",47913.49
1990,"Fifty-Five Plus","Hispanic","NILF","125-149 Percent of Poverty","male","other",10622.44
1990,"Fifty-Five Plus","Hispanic","NILF","125-149 Percent of Poverty","male","with_children",8194.51
1990,"Fifty-Five Plus","Hispanic","NILF","125-149 Percent of Poverty","male","without_children",30963.53
1990,"Fifty-Five Plus","Hispanic","NILF","150+ Percent of Poverty","female","other",226409.8
1990,"Fifty-Five Plus","Hispanic","NILF","150+ Percent of Poverty","female","with_children",14857.39
1990,"Fifty-Five Plus","Hispanic","NILF","150+ Percent of Poverty","female","without_children",279027.11
1990,"Fifty-Five Plus","Hispanic","NILF","150+ Percent of Poverty","male","other",109542.88
1990,"Fifty-Five Plus","Hispanic","NILF","150+ Percent of Poverty","male","with_children",8708.06
1990,"Fifty-Five Plus","Hispanic","NILF","150+ Percent of Poverty","male","without_children",218891.36
1990,"Fifty-Five Plus","Hispanic","NILF","Below Poverty","female","other",48184.02
1990,"Fifty-Five Plus","Hispanic","NILF","Below Poverty","female","with_children",14901.35
1990,"Fifty-Five Plus","Hispanic","NILF","Below Poverty","female","without_children",173300.81
1990,"Fifty-Five Plus","Hispanic","NILF","Below Poverty","male","other",20322.38
1990,"Fifty-Five Plus","Hispanic","NILF","Below Poverty","male","with_children",10842.81
1990,"Fifty-Five Plus","Hispanic","NILF","Below Poverty","male","without_children",98658.62
1990,"Fifty-Five Plus","Hispanic","Unemployed","100-124 Percent of Poverty","female","other",2043.61
1990,"Fifty-Five Plus","Hispanic","Unemployed","100-124 Percent of Poverty","male","other",2268.29
1990,"Fifty-Five Plus","Hispanic","Unemployed","125-149 Percent of Poverty","male","without_children",2417.07
1990,"Fifty-Five Plus","Hispanic","Unemployed","150+ Percent of Poverty","female","other",1948.17
1990,"Fifty-Five Plus","Hispanic","Unemployed","150+ Percent of Poverty","female","without_children",6032.35
1990,"Fifty-Five Plus","Hispanic","Unemployed","150+ Percent of Poverty","male","other",1642.22
1990,"Fifty-Five Plus","Hispanic","Unemployed","150+ Percent of Poverty","male","with_children",5266.76
1990,"Fifty-Five Plus","Hispanic","Unemployed","150+ Percent of Poverty","male","without_children",6902.08
1990,"Fifty-Five Plus","Hispanic","Unemployed","Below Poverty","female","with_children",1010.46
1990,"Fifty-Five Plus","Hispanic","Unemployed","Below Poverty","female","without_children",1345.79
1990,"Fifty-Five Plus","Hispanic","Unemployed","Below Poverty","male","other",882.34
1990,"Fifty-Five Plus","Hispanic","Unemployed","Below Poverty","male","with_children",1821.21
1990,"Fifty-Five Plus","Hispanic","Unemployed","Below Poverty","male","without_children",6300.23
1990,"Fifty-Five Plus","Two or More Races","Employed","150+ Percent of Poverty","female","without_children",3625.75
1990,"Fifty-Five Plus","Two or More Races","Employed","150+ Percent of Poverty","male","other",1671.66
1990,"Fifty-Five Plus","Two or More Races","Employed","150+ Percent of Poverty","male","with_children",2528.75
1990,"Fifty-Five Plus","Two or More Races","Employed","150+ Percent of Poverty","male","without_children",2550.25
1990,"Fifty-Five Plus","Two or More Races","NILF","150+ Percent of Poverty","female","other",7369.89
1990,"Fifty-Five Plus","Two or More Races","NILF","150+ Percent of Poverty","male","other",3162.35
1990,"Fifty-Five Plus","Two or More Races","NILF","150+ Percent of Poverty","male","without_children",4152.11
1990,"Fifty-Five Plus","White","Armed Forces","150+ Percent of Poverty","male","other",1667.81
1990,"Fifty-Five Plus","White","Employed","100-124 Percent of Poverty","female","other",6412.74
1990,"Fifty-Five Plus","White","Employed","100-124 Percent of Poverty","female","without_children",91206.73
1990,"Fifty-Five Plus","White","Employed","100-124 Percent of Poverty","male","other",16367.01
1990,"Fifty-Five Plus","White","Employed","100-124 Percent of Poverty","male","with_children",13298.69
1990,"Fifty-Five Plus","White","Employed","100-124 Percent of Poverty","male","without_children",70969.45
1990,"Fifty-Five Plus","White","Employed","125-149 Percent of Poverty","female","other",10642.88
1990,"Fifty-Five Plus","White","Employed","125-149 Percent of Poverty","female","with_children",4249.87
1990,"Fifty-Five Plus","White","Employed","125-149 Percent of Poverty","female","without_children",155300.57
1990,"Fifty-Five Plus","White","Employed","125-149 Percent of Poverty","male","other",7658.5
1990,"Fifty-Five Plus","White","Employed","125-149 Percent of Poverty","male","with_children",12107
1990,"Fifty-Five Plus","White","Employed","125-149 Percent of Poverty","male","without_children",105176.14
1990,"Fifty-Five Plus","White","Employed","150+ Percent of Poverty","female","other",1027680.02
1990,"Fifty-Five Plus","White","Employed","150+ Percent of Poverty","female","with_children",93842.76
1990,"Fifty-Five Plus","White","Employed","150+ Percent of Poverty","female","without_children",3796265.33
1990,"Fifty-Five Plus","White","Employed","150+ Percent of Poverty","male","other",1547223.82
1990,"Fifty-Five Plus","White","Employed","150+ Percent of Poverty","male","with_children",402161.13
1990,"Fifty-Five Plus","White","Employed","150+ Percent of Poverty","male","without_children",4911509.75
1990,"Fifty-Five Plus","White","Employed","Below Poverty","female","other",8321.33
1990,"Fifty-Five Plus","White","Employed","Below Poverty","female","with_children",3559.41
1990,"Fifty-Five Plus","White","Employed","Below Poverty","female","without_children",146062.22
1990,"Fifty-Five Plus","White","Employed","Below Poverty","male","other",13992.67
1990,"Fifty-Five Plus","White","Employed","Below Poverty","male","with_children",18146.83
1990,"Fifty-Five Plus","White","Employed","Below Poverty","male","without_children",139041.43
1990,"Fifty-Five Plus","White","NILF","100-124 Percent of Poverty","female","other",79300.1
1990,"Fifty-Five Plus","White","NILF","100-124 Percent of Poverty","female","with_children",5519
1990,"Fifty-Five Plus","White","NILF","100-124 Percent of Poverty","female","without_children",1384905.39
1990,"Fifty-Five Plus","White","NILF","100-124 Percent of Poverty","male","other",36775.06
1990,"Fifty-Five Plus","White","NILF","100-124 Percent of Poverty","male","with_children",12961.88
1990,"Fifty-Five Plus","White","NILF","100-124 Percent of Poverty","male","without_children",589900.06
1990,"Fifty-Five Plus","White","NILF","125-149 Percent of Poverty","female","other",140654.79
1990,"Fifty-Five Plus","White","NILF","125-149 Percent of Poverty","female","with_children",8352.6
1990,"Fifty-Five Plus","White","NILF","125-149 Percent of Poverty","female","without_children",1378063.65
1990,"Fifty-Five Plus","White","NILF","125-149 Percent of Poverty","male","other",44618.45
1990,"Fifty-Five Plus","White","NILF","125-149 Percent of Poverty","male","with_children",20832.84
1990,"Fifty-Five Plus","White","NILF","125-149 Percent of Poverty","male","without_children",690444.52
1990,"Fifty-Five Plus","White","NILF","150+ Percent of Poverty","female","other",2125796.8
1990,"Fifty-Five Plus","White","NILF","150+ Percent of Poverty","female","with_children",78489.91
1990,"Fifty-Five Plus","White","NILF","150+ Percent of Poverty","female","without_children",11099867.35
1990,"Fifty-Five Plus","White","NILF","150+ Percent of Poverty","male","other",1227160.69
1990,"Fifty-Five Plus","White","NILF","150+ Percent of Poverty","male","with_children",116511.64
1990,"Fifty-Five Plus","White","NILF","150+ Percent of Poverty","male","without_children",7706040.64
1990,"Fifty-Five Plus","White","NILF","Below Poverty","female","other",145214.9
1990,"Fifty-Five Plus","White","NILF","Below Poverty","female","with_children",20071.72
1990,"Fifty-Five Plus","White","NILF","Below Poverty","female","without_children",2064942.1
1990,"Fifty-Five Plus","White","NILF","Below Poverty","male","other",62109.42
1990,"Fifty-Five Plus","White","NILF","Below Poverty","male","with_children",27237.94
1990,"Fifty-Five Plus","White","NILF","Below Poverty","male","without_children",822660.5
1990,"Fifty-Five Plus","White","Unemployed","100-124 Percent of Poverty","female","without_children",1386.98
1990,"Fifty-Five Plus","White","Unemployed","100-124 Percent of Poverty","male","other",980.39
1990,"Fifty-Five Plus","White","Unemployed","100-124 Percent of Poverty","male","without_children",10381.53
1990,"Fifty-Five Plus","White","Unemployed","125-149 Percent of Poverty","female","without_children",5213.95
1990,"Fifty-Five Plus","White","Unemployed","125-149 Percent of Poverty","male","without_children",15268.83
1990,"Fifty-Five Plus","White","Unemployed","150+ Percent of Poverty","female","other",25256.98
1990,"Fifty-Five Plus","White","Unemployed","150+ Percent of Poverty","female","with_children",6622.37
1990,"Fifty-Five Plus","White","Unemployed","150+ Percent of Poverty","female","without_children",93790.4
1990,"Fifty-Five Plus","White","Unemployed","150+ Percent of Poverty","male","other",61385.84
1990,"Fifty-Five Plus","White","Unemployed","150+ Percent of Poverty","male","with_children",12894.62
1990,"Fifty-Five Plus","White","Unemployed","150+ Percent of Poverty","male","without_children",154446.62
1990,"Fifty-Five Plus","White","Unemployed","Below Poverty","female","other",1522.23
1990,"Fifty-Five Plus","White","Unemployed","Below Poverty","female","with_children",1641.81
1990,"Fifty-Five Plus","White","Unemployed","Below Poverty","female","without_children",15795.42
1990,"Fifty-Five Plus","White","Unemployed","Below Poverty","male","with_children",5249.68
1990,"Fifty-Five Plus","White","Unemployed","Below Poverty","male","without_children",28744.76
1990,"Prime Age","American Indian","Armed Forces","150+ Percent of Poverty","female","with_children",1100.02
1990,"Prime Age","American Indian","Armed Forces","150+ Percent of Poverty","male","other",1875.93
1990,"Prime Age","American Indian","Armed Forces","150+ Percent of Poverty","male","with_children",805.29
1990,"Prime Age","American Indian","Armed Forces","150+ Percent of Poverty","male","without_children",228.66
1990,"Prime Age","American Indian","Employed","100-124 Percent of Poverty","female","other",2127.58
1990,"Prime Age","American Indian","Employed","100-124 Percent of Poverty","female","with_children",6986.11
1990,"Prime Age","American Indian","Employed","100-124 Percent of Poverty","female","without_children",1366.38
1990,"Prime Age","American Indian","Employed","100-124 Percent of Poverty","male","with_children",8308.56
1990,"Prime Age","American Indian","Employed","100-124 Percent of Poverty","male","without_children",9519.49
1990,"Prime Age","American Indian","Employed","125-149 Percent of Poverty","female","other",1766.6
1990,"Prime Age","American Indian","Employed","125-149 Percent of Poverty","female","with_children",7440.26
1990,"Prime Age","American Indian","Employed","125-149 Percent of Poverty","female","without_children",9242.5
1990,"Prime Age","American Indian","Employed","125-149 Percent of Poverty","male","other",761.04
1990,"Prime Age","American Indian","Employed","125-149 Percent of Poverty","male","with_children",9741.24
1990,"Prime Age","American Indian","Employed","125-149 Percent of Poverty","male","without_children",5180.72
1990,"Prime Age","American Indian","Employed","150+ Percent of Poverty","female","other",8938.83
1990,"Prime Age","American Indian","Employed","150+ Percent of Poverty","female","with_children",67195.34
1990,"Prime Age","American Indian","Employed","150+ Percent of Poverty","female","without_children",56173.64
1990,"Prime Age","American Indian","Employed","150+ Percent of Poverty","male","other",10146.74
1990,"Prime Age","American Indian","Employed","150+ Percent of Poverty","male","with_children",76387.41
1990,"Prime Age","American Indian","Employed","150+ Percent of Poverty","male","without_children",63721.79
1990,"Prime Age","American Indian","Employed","Below Poverty","female","with_children",12953.48
1990,"Prime Age","American Indian","Employed","Below Poverty","female","without_children",3577.4
1990,"Prime Age","American Indian","Employed","Below Poverty","male","with_children",9131.92
1990,"Prime Age","American Indian","Employed","Below Poverty","male","without_children",6059.51
1990,"Prime Age","American Indian","NILF","100-124 Percent of Poverty","female","with_children",4697.97
1990,"Prime Age","American Indian","NILF","100-124 Percent of Poverty","female","without_children",330.53
1990,"Prime Age","American Indian","NILF","100-124 Percent of Poverty","male","with_children",3218.05
1990,"Prime Age","American Indian","NILF","100-124 Percent of Poverty","male","without_children",7826.33
1990,"Prime Age","American Indian","NILF","125-149 Percent of Poverty","female","other",761.04
1990,"Prime Age","American Indian","NILF","125-149 Percent of Poverty","female","with_children",5552.71
1990,"Prime Age","American Indian","NILF","125-149 Percent of Poverty","female","without_children",4944.44
1990,"Prime Age","American Indian","NILF","125-149 Percent of Poverty","male","other",361.88
1990,"Prime Age","American Indian","NILF","125-149 Percent of Poverty","male","with_children",901.54
1990,"Prime Age","American Indian","NILF","150+ Percent of Poverty","female","other",3028.13
1990,"Prime Age","American Indian","NILF","150+ Percent of Poverty","female","with_children",30262.35
1990,"Prime Age","American Indian","NILF","150+ Percent of Poverty","female","without_children",12724.91
1990,"Prime Age","American Indian","NILF","150+ Percent of Poverty","male","other",765.57
1990,"Prime Age","American Indian","NILF","150+ Percent of Poverty","male","with_children",4705.93
1990,"Prime Age","American Indian","NILF","150+ Percent of Poverty","male","without_children",7478.37
